Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_4).onPrepared.(Anon_5),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_6),1.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,1,13,0,11,0,,,,5,7,2,5,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_6).onCompletion.(Anon_7),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,0,5,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
Class,com.example.yink.amadeus.VoiceLine,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,,20,3,14,6,4,3,,,,6,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,33.0,33.0,0.21,3,3,3,3,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
Public Class,com.example.yink.amadeus.LaunchActivity,1.0,1.0,1.0,1.0,19.0,3.0,15.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,45,9,36,8,25,0,,,,20,25,8,17,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_1),1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8,1,7,1,6,0,,,,3,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_2),1.0,1.0,1.0,1.0,8.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,1,9,1,8,0,,,,5,6,2,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Public Class,com.example.yink.amadeus.MainActivity,3.0,2.0,4.0,1.0,25.0,1.0,24.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,9.0,8.0,9.0,9.0,0.0,3.0,4.0,2.0,,318,31,282,62,212,12,,,,160,208,62,146,,,,,,19.0,12.0,30.0,1.0,,2.0,2,,79.0,69.0,0.04,31,24,42,9,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Private Class,com.example.yink.amadeus.MainActivity.Mood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,14.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,0,16,15,14,1,,,,14,15,15,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.06,0,0,0,0,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Public Class,com.example.yink.amadeus.MainActivity.listener,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,9.0,1.0,9.0,9.0,0.0,0.0,0.0,9.0,,36,2,34,13,14,0,,,,14,24,13,11,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,9,9,9,9,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_1),2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,9,0,9,2,7,0,,,,3,5,2,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_2),3.0,3.0,4.0,1.0,14.0,2.0,11.0,1.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,16,2,13,3,11,1,,,,4,7,3,4,,,,,,3.0,3.0,4.0,1.0,,2.0,2,,0.0,0.0,0.08,3,3,4,1,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_3),3.0,3.0,3.0,1.0,12.0,0.0,12.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,0,14,0,11,0,,,,5,8,1,7,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,0.0,0.0,0.0,3,3,3,1,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_4),1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,0,8,0,,,,2,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_4).onPrepared.(Anon_5),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_6),1.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,1,13,0,11,0,,,,5,7,2,5,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_6).onCompletion.(Anon_7),1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,0,7,0,6,0,,,,3,4,1,3,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Class,com.example.yink.amadeus.VoiceLine,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,,20,3,14,6,4,3,,,,6,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,33.0,33.0,0.21,3,3,3,3,d841ce561b375e02511e4b461da6c19d8bd0d0bc,0
Public Class,com.example.yink.amadeus.LaunchActivity,1.0,1.0,1.0,1.0,28.0,4.0,23.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,3.0,2.0,2.0,0.0,0.0,2.0,0.0,,64,11,53,10,39,0,,,,29,36,12,24,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2,fc2f31f3ba083f6f717e0a872fb9926ca71875db,1
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_1),1.0,1.0,1.0,1.0,22.0,3.0,19.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,24,3,21,2,18,0,,,,9,12,5,7,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_1).onClick.(Anon_2),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,0,5,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_1).onClick.(Anon_3),1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,0,7,1,6,0,,,,3,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_4),1.0,1.0,1.0,1.0,8.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,1,9,1,8,0,,,,5,6,2,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Public Class,com.example.yink.amadeus.MainActivity,3.0,2.0,4.0,1.0,25.0,1.0,23.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,9.0,8.0,9.0,9.0,0.0,3.0,4.0,2.0,,315,30,280,61,210,12,,,,158,206,61,145,,,,,,19.0,12.0,30.0,1.0,,2.0,2,,81.0,75.0,0.04,31,24,42,9,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Private Class,com.example.yink.amadeus.MainActivity.Mood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,14.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,0,16,15,14,1,,,,14,15,15,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.06,0,0,0,0,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Public Class,com.example.yink.amadeus.MainActivity.listener,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,9.0,1.0,9.0,9.0,0.0,0.0,0.0,9.0,,36,2,34,13,14,0,,,,14,24,13,11,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,9,9,9,9,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_1),2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,9,0,9,2,7,0,,,,3,5,2,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_2),3.0,3.0,4.0,1.0,14.0,2.0,11.0,1.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,16,2,13,3,11,1,,,,4,7,3,4,,,,,,3.0,3.0,4.0,1.0,,2.0,2,,0.0,0.0,0.08,3,3,4,1,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_3),3.0,3.0,3.0,1.0,12.0,0.0,12.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,0,14,0,11,0,,,,5,8,1,7,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,0.0,0.0,0.0,3,3,3,1,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_4),1.0,1.0,1.0,1.0,11.0,1.0,10.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,13,1,12,0,10,0,,,,4,6,2,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_4).onPrepared.(Anon_5),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_6),1.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,1,13,0,11,0,,,,5,7,2,5,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_6).onCompletion.(Anon_7),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,0,5,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Class,com.example.yink.amadeus.VoiceLine,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,,20,3,14,6,4,3,,,,6,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,33.0,33.0,0.21,3,3,3,3,fc2f31f3ba083f6f717e0a872fb9926ca71875db,0
Public Class,com.example.yink.amadeus.LaunchActivity,1.0,1.0,1.0,1.0,19.0,3.0,15.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,45,9,36,8,25,0,,,,20,25,8,17,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2,cebfaac01581ff30b157fb899f264e102ea13f94,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_1),1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8,1,7,1,6,0,,,,3,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,cebfaac01581ff30b157fb899f264e102ea13f94,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_2),1.0,1.0,1.0,1.0,8.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,1,9,1,8,0,,,,5,6,2,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,cebfaac01581ff30b157fb899f264e102ea13f94,0
Public Class,com.example.yink.amadeus.MainActivity,3.0,2.0,4.0,1.0,25.0,1.0,23.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,9.0,8.0,9.0,9.0,0.0,3.0,4.0,2.0,,315,30,280,61,210,12,,,,158,206,61,145,,,,,,19.0,12.0,30.0,1.0,,2.0,2,,81.0,75.0,0.04,31,24,42,9,cebfaac01581ff30b157fb899f264e102ea13f94,0
Private Class,com.example.yink.amadeus.MainActivity.Mood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,14.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,0,16,15,14,1,,,,14,15,15,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.06,0,0,0,0,cebfaac01581ff30b157fb899f264e102ea13f94,0
Public Class,com.example.yink.amadeus.MainActivity.listener,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,9.0,1.0,9.0,9.0,0.0,0.0,0.0,9.0,,36,2,34,13,14,0,,,,14,24,13,11,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,9,9,9,9,cebfaac01581ff30b157fb899f264e102ea13f94,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_1),2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,9,0,9,2,7,0,,,,3,5,2,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1,cebfaac01581ff30b157fb899f264e102ea13f94,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_2),3.0,3.0,4.0,1.0,14.0,2.0,11.0,1.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,16,2,13,3,11,1,,,,4,7,3,4,,,,,,3.0,3.0,4.0,1.0,,2.0,2,,0.0,0.0,0.08,3,3,4,1,cebfaac01581ff30b157fb899f264e102ea13f94,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_3),3.0,3.0,3.0,1.0,12.0,0.0,12.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,0,14,0,11,0,,,,5,8,1,7,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,0.0,0.0,0.0,3,3,3,1,cebfaac01581ff30b157fb899f264e102ea13f94,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_4),1.0,1.0,1.0,1.0,11.0,1.0,10.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,13,1,12,0,10,0,,,,4,6,2,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,cebfaac01581ff30b157fb899f264e102ea13f94,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_4).onPrepared.(Anon_5),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,cebfaac01581ff30b157fb899f264e102ea13f94,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_6),1.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,1,13,0,11,0,,,,5,7,2,5,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,cebfaac01581ff30b157fb899f264e102ea13f94,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_6).onCompletion.(Anon_7),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,0,5,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,cebfaac01581ff30b157fb899f264e102ea13f94,0
Class,com.example.yink.amadeus.VoiceLine,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,,20,3,14,6,4,3,,,,6,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,33.0,33.0,0.21,3,3,3,3,cebfaac01581ff30b157fb899f264e102ea13f94,0
Public Class,com.example.yink.amadeus.LaunchActivity,1.0,1.0,1.0,1.0,21.0,2.0,18.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,3.0,5.0,3.0,3.0,0.0,0.0,2.0,1.0,,74,10,64,14,44,0,,,,35,44,15,29,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,40.0,40.0,0.0,4,4,4,3,6023fa6adecdc0dd3c130ae949bae6e9dd7b3e2e,1
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_1),1.0,1.0,1.0,1.0,22.0,3.0,19.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,24,3,21,2,18,0,,,,9,12,5,7,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,6023fa6adecdc0dd3c130ae949bae6e9dd7b3e2e,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_1).onClick.(Anon_2),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,0,5,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,6023fa6adecdc0dd3c130ae949bae6e9dd7b3e2e,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_1).onClick.(Anon_3),1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,0,7,1,6,0,,,,3,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,6023fa6adecdc0dd3c130ae949bae6e9dd7b3e2e,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_4),1.0,1.0,1.0,1.0,8.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,1,9,1,8,0,,,,5,6,2,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,6023fa6adecdc0dd3c130ae949bae6e9dd7b3e2e,0
Public Class,com.example.yink.amadeus.MainActivity,3.0,2.0,4.0,1.0,25.0,1.0,23.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,9.0,8.0,9.0,9.0,0.0,3.0,4.0,2.0,,315,30,280,61,210,12,,,,158,206,61,145,,,,,,19.0,12.0,30.0,1.0,,2.0,2,,81.0,75.0,0.04,31,24,42,9,6023fa6adecdc0dd3c130ae949bae6e9dd7b3e2e,0
Private Class,com.example.yink.amadeus.MainActivity.Mood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,14.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,0,16,15,14,1,,,,14,15,15,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.06,0,0,0,0,6023fa6adecdc0dd3c130ae949bae6e9dd7b3e2e,0
Public Class,com.example.yink.amadeus.MainActivity.listener,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,9.0,1.0,9.0,9.0,0.0,0.0,0.0,9.0,,36,2,34,13,14,0,,,,14,24,13,11,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,9,9,9,9,6023fa6adecdc0dd3c130ae949bae6e9dd7b3e2e,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_1),2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,9,0,9,2,7,0,,,,3,5,2,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1,6023fa6adecdc0dd3c130ae949bae6e9dd7b3e2e,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_2),3.0,3.0,4.0,1.0,14.0,2.0,11.0,1.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,16,2,13,3,11,1,,,,4,7,3,4,,,,,,3.0,3.0,4.0,1.0,,2.0,2,,0.0,0.0,0.08,3,3,4,1,6023fa6adecdc0dd3c130ae949bae6e9dd7b3e2e,0
